t,rain_inches,station
2026-07-26 10:35:00+00:00,0.0,KACZ
2026-07-26 10:40:00+00:00,0.0,KFBG
2026-07-26 10:55:00+00:00,0.0,KFBG
2026-07-26 11:00:00+00:00,0.0,KFBG
2026-07-26 11:11:00+00:00,0.0,KFBG
2026-07-26 11:15:00+00:00,0.0,KACZ
2026-07-26 11:16:00+00:00,0.0,KFBG
2026-07-26 11:35:00+00:00,0.0,KACZ
2026-07-26 11:51:00+00:00,0.0,KFBG
2026-07-26 11:52:00+00:00,0.0,KFBG
2026-07-26 11:55:00+00:00,0.0,KFBG
2026-07-26 12:15:00+00:00,0.0,KACZ
2026-07-26 12:30:00+00:00,0.0,KFBG
2026-07-26 12:35:00+00:00,0.0,KACZ
2026-07-26 12:55:00+00:00,0.0,KFBG
2026-07-26 13:15:00+00:00,0.0,KFBG
2026-07-26 13:25:00+00:00,0.0,KFBG
2026-07-26 13:35:00+00:00,0.0,KACZ
2026-07-26 13:50:00+00:00,0.0,KFBG
2026-07-26 13:55:00+00:00,0.0,KFBG
2026-07-26 14:15:00+00:00,0.0,KFBG
2026-07-26 14:30:00+00:00,0.0,KFBG
2026-07-26 14:35:00+00:00,0.0,KFBG
2026-07-26 14:55:00+00:00,0.0,KFBG
